symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ELE,2025-05-05 19:54:00+00:00,68.41,68.42,68.33,68.35,19339.0,348.0,68.374897
BYRN,2025-05-05 19:54:00+00:00,22.66,22.67,22.63,22.655,4784.0,154.0,22.654751
TNK,2025-05-05 19:54:00+00:00,46.266,46.266,46.19,46.24,13535.0,236.0,46.237643
YXI,2025-05-05 19:54:00+00:00,11.57,11.57,11.57,11.57,101.0,2.0,11.57
NRXP,2025-05-05 19:54:00+00:00,2.0499,2.0499,2.0499,2.0499,2500.0,1.0,2.0499
MAN,2025-05-05 19:54:00+00:00,40.95,40.95,40.87,40.87,8378.0,137.0,40.918023
VTS,2025-05-05 19:54:00+00:00,21.27,21.3,21.26,21.26,7199.0,164.0,21.275263
OS,2025-05-05 19:54:00+00:00,23.205,23.24,23.18,23.24,15615.0,223.0,23.201184
CYD,2025-05-05 19:54:00+00:00,16.27,16.29,16.27,16.28,849.0,19.0,16.2843
BAX,2025-05-05 19:54:00+00:00,30.49,30.49,30.47,30.48,19133.0,288.0,30.480904
LILA,2025-05-05 19:54:00+00:00,5.235,5.245,5.23,5.245,11667.0,113.0,5.23881
TK,2025-05-05 19:54:00+00:00,7.845,7.85,7.84,7.8411,4907.0,39.0,7.843761
QMMY,2025-05-05 19:54:00+00:00,21.24,21.24,21.24,21.24,922.0,3.0,21.24
MITP,2025-05-05 19:54:00+00:00,24.89,24.89,24.89,24.89,100.0,1.0,24.89
HSAI,2025-05-05 19:54:00+00:00,17.9781,18.02,17.9501,17.98,73697.0,108.0,17.978702
Z,2025-05-05 19:54:00+00:00,68.35,68.35,68.29,68.3,13680.0,336.0,68.319108
KURA,2025-05-05 19:54:00+00:00,6.705,6.71,6.695,6.7,13339.0,143.0,6.698962
SNY,2025-05-05 19:54:00+00:00,54.57,54.5799,54.56,54.56,5466.0,112.0,54.568195
SCKT,2025-05-05 19:54:00+00:00,1.25,1.25,1.25,1.25,100.0,1.0,1.25
JHX,2025-05-05 19:54:00+00:00,24.042,24.05,24.035,24.05,5822.0,70.0,24.045507
IDYA,2025-05-05 19:54:00+00:00,20.48,20.52,20.48,20.51,5338.0,136.0,20.491184
QGRW,2025-05-05 19:54:00+00:00,46.0,46.01,46.0,46.01,901.0,5.0,46.006667
HTHT,2025-05-05 19:54:00+00:00,36.245,36.255,36.235,36.24,10994.0,170.0,36.243051
SDIV,2025-05-05 19:54:00+00:00,20.81,20.81,20.805,20.81,2436.0,21.0,20.809205
LVS,2025-05-05 19:54:00+00:00,38.45,38.51,38.4,38.44,114563.0,1168.0,38.460027
PGNY,2025-05-05 19:54:00+00:00,23.345,23.365,23.34,23.34,12259.0,222.0,23.35291
FCOM,2025-05-05 19:54:00+00:00,57.34,57.34,57.31,57.31,821.0,10.0,57.334834
ENSC,2025-05-05 19:54:00+00:00,2.48,2.48,2.46,2.46,1668.0,11.0,2.466823
MCHI,2025-05-05 19:54:00+00:00,53.43,53.435,53.425,53.425,3426.0,35.0,53.429055
NRDS,2025-05-05 19:54:00+00:00,8.54,8.545,8.53,8.545,7994.0,117.0,8.538849
BMRC,2025-05-05 19:54:00+00:00,21.315,21.36,21.315,21.36,2536.0,67.0,21.328571
